,MI
metPt,1.47
leadPhotonEn,1.47
leadPhotonPt,1.47
diphotonPhi,1.46
diphotonEta,1.46
diphotonPt,1.46
subleadPhotonPtOvM,1.45
subleadPhotonPt,1.45
diphotonSigmaMoM,1.45
subleadPhotonEn,1.45
leadPhotonPtOvM,1.45
diphotonMass,1.36
leadJetEn,1.28
leadJetPt,1.28
leadJetDiphoDEta,1.26
leadJetDiphoDPhi,1.26
dijetEta,0.97
subleadJetPt,0.97
subleadJetEn,0.97
dijetPhi,0.96
dijetMass,0.96
dijetPt,0.96
subleadJetDiphoDEta,0.95
dijetDiphoAbsDEta,0.95
dijetMinDRJetPho,0.95
subleadJetDiphoDPhi,0.95
leadPhotonPfRelIsoAll,0.92
subleadPhotonPfRelIsoAll,0.9
dijetCentrality,0.86
dijetDiphoAbsDPhiTrunc,0.85
subleadPhotonPfRelIsoChg,0.65
leadPhotonPfRelIsoChg,0.64
subsubleadJetPt,0.62
subsubleadJetEn,0.62
dijetDPhi,0.47
dijetAbsDEta,0.4
diphotonCosPhi,0.4
leadJetEta,0.25
leadPhotonEta,0.24
subleadPhotonEta,0.24
subleadJetEta,0.23
subleadPhotonPhi,0.22
leadPhotonPhi,0.22
metPhi,0.21
leadJetPhi,0.21
subsubleadJetEta,0.2
subleadJetPhi,0.2
subsubleadJetPhi,0.17
leadMuonPt,0.16
leadMuonEn,0.16
leadMuonPfRelIso04,0.14
leadMuonEta,0.1
leadMuonPhi,0.09
metSignificance,0.08
subsubleadPhotonEn,0.07
subsubleadPhotonPt,0.07
subsubleadPhotonPfRelIsoAll,0.06
subleadPhotonIDMVA,0.06
subsubleadPhotonEta,0.06
leadElectronEn,0.05
subleadJetQGL,0.05
leadJetQGL,0.05
leadPhotonIDMVA,0.05
leadElectronPt,0.05
subsubleadPhotonPfRelIsoChg,0.05
subsubleadPhotonPhi,0.05
subsubleadJetBTagScore,0.04
leadJetBTagScore,0.04
leadElectronPhi,0.04
leadElectronEta,0.04
subleadJetBTagScore,0.04
subsubleadJetQGL,0.04
leadJetMass,0.03
leadElectronMvaFall17V2Iso,0.03
leadElectronMass,0.03
subleadJetMass,0.03
subleadMuonEta,0.02
subleadMuonPt,0.02
subleadMuonPfRelIso04,0.02
subleadMuonEn,0.02
subleadMuonPhi,0.02
metSumET,0.02
subsubleadJetMass,0.02
subsubleadPhotonIDMVA,0.02
subleadPhotonSieie,0.02
subleadPhotonHoE,0.01
leadPhotonHoE,0.01
subleadPhotonR9,0.01
leadPhotonR9,0.01
leadPhotonSieie,0.01
subsubleadPhotonSieie,0.01
subsubleadPhotonR9,0.01
subsubleadPhotonHoE,0.01
leadElectronCharge,0.0
subsubleadMuonPt,0.0
subsubleadMuonMass,0.0
subsubleadMuonEn,0.0
subleadMuonCharge,0.0
leadElectronConvVeto,0.0
subleadElectronEn,0.0
subsubleadMuonEta,0.0
subsubleadMuonPhi,0.0
subsubleadMuonPfRelIso04,0.0
subsubleadJetPUJID,0.0
subsubleadPhotonElectronVeto,0.0
subleadPhotonElectronVeto,0.0
leadPhotonElectronVeto,0.0
leadPhotonPixelSeed,0.0
subleadPhotonMass,0.0
subsubleadJetID,0.0
leadPhotonSigmaE,0.0
subsubleadMuonCharge,0.0
nSoftJets,0.0
subleadElectronMass,0.0
leadPhotonMass,0.0
subsubleadPhotonPixelSeed,0.0
subleadPhotonPixelSeed,0.0
subsubleadPhotonMass,0.0
subsubleadPhotonSigmaE,0.0
subleadPhotonSigmaE,0.0
subleadElectronPt,0.0
subleadElectronEta,0.0
subleadElectronPhi,0.0
subleadElectronMvaFall17V2Iso,0.0
subleadElectronCharge,0.0
leadMuonCharge,0.0
subsubleadElectronEn,0.0
subsubleadElectronMass,0.0
subsubleadElectronPt,0.0
subsubleadElectronEta,0.0
subsubleadElectronPhi,0.0
subsubleadElectronMvaFall17V2Iso,0.0
subleadJetID,0.0
subleadJetPUJID,0.0
leadJetID,0.0
leadJetPUJID,0.0
subsubleadElectronCharge,0.0
subsubleadElectronConvVeto,0.0
leadMuonMass,0.0
subleadMuonMass,0.0
subleadElectronConvVeto,0.0
